Artist,Title,Album,Key,Tempo,Genre,Energy,CuePoints,Comment,Overall Volume
Adventure Club,High Like This,High Like This,Cm,150.00,Dance,7,8,Cm - 150.00,-7.6 dB
Adventure Club,Here,Here,G,110.00,Electro,7,8,G - 110.00,-8.4 dB
Adventure Club,Already Know (feat. Caly Bevier),Love // Chaos,Am,140.00,Dance,7,8,Am - 140.00,-6.7 dB
Adventure Club,Colorblind (feat. Dayseeker),Love // Chaos,Dm,139.99,Dance,6,8,Dm - 139.99,-7.6 dB
Adventure Club,Come Clean (feat. Justin Jesso),Love // Chaos,C,135.02,Dance,6,8,C - 135.02,-11.1 dB
Adventure Club,Never Enough,Love // Chaos,Am,82.55,Dance,6,8,Am - 82.55,-6.2 dB
Adventure Club,Here,Love // Chaos,G,110.00,Dance,7,8,G - 110.00,-8.4 dB
Adventure Club,Lonely,Love // Chaos,Dm,144.99,Dance,7,8,Dm - 144.99,-5.4 dB
Adventure Club,Rebellious (feat. Yuna),Love // Chaos,Cm,80.00,Dance,6,8,Cm - 80.00,-9.3 dB
Adventure Club,Drive (feat. Tilian),Love // Chaos,D,150.01,Dance,7,8,D - 150.01,-8.7 dB
Adventure Club,High Like This (feat. Dia Frampton),Love // Chaos,Cm,150.00,Dance,7,8,Cm - 150.00,-7.7 dB
Adventure Club,Never Surrender (feat. Sarah De Warren),Love // Chaos,Cm,150.00,Dance,8,8,Cm - 150.00,-6.4 dB
Adventure Club,Life Long After Death (feat. badXchannels),Life Long After Death (feat. badXchannels),Em,150.00,Dance,7,8,Em - 150.00,-6.2 dB
Adventure Club,LEVIATHAN,LEVIATHAN,Fm,150.00,Electro,9,8,Fm - 150.00,-4.2 dB
Adventure Club,King of Nothing,Love // Chaos,D#,150.00,Dance,8,8,D# - 150.00,-9.0 dB
After Hour Animals,All It Takes,All It Takes,Fm,103.28,Rock,7,8,Fm - 103.28,-9.1 dB
AG128ET ,One More Heart Attack (Mashup) ,YT Mashups,Fm,86.99,,7,7,Fm - 86.99,-10.6 dB
Aidan,In The End (feat. Habition & Guardin),SoundCloud 2018,A#m,107.00,,6,8,A#m - 107.00,-12.1 dB
Aim High,$EZCORE$ (feat. Charlie Sheen & Dan O'Connor),Local Band Forever,D#,126.38,Rock,7,6,D# - 126.38 - CORERADIO.RU,-7.8 dB
Aim High,Pajamas in Public (feat. Reliance),Local Band Forever,Fm,115.63,Rock,7,3,Fm - 115.63 - CORERADIO.RU,-8.1 dB
Aim High,Eton Edicius (feat. safehold),Local Band Forever,G#,95.00,Rock,7,8,G# - 95.00 - CORERADIO.RU,-9.1 dB
Aim High,Better Than This (feat. Broadside),Local Band Forever,Cm,117.00,Rock,7,5,Cm - 117.00 - CORERADIO.RU,-7.9 dB
Aim High,Gender Neutral Happy Meal (feat. Belmont & safehold),Local Band Forever,D,124.00,Rock,8,8,D - 124.00 - CORERADIO.RU,-8.4 dB
Aim High,Counterparts (feat. Brendan Murphy),Local Band Forever,Fm,124.68,Rock,7,8,Fm - 124.68 - CORERADIO.RU,-8.1 dB
Aim High,Clear & Concise (feat. Glimmers),Local Band Forever,G,145.01,Rock,6,8,G - 145.01 - CORERADIO.RU,-11.1 dB
Aim High,Home Is Where the Hea(r)t Is [feat. Sleeping With Sirens & Like Pacific],Local Band Forever,Fm,140.00,Rock,7,6,Fm - 140.00 - CORERADIO.RU,-8.2 dB
Aim High,Empty Streets (feat. Driveways & Calebjustcaleb),Local Band Forever,Dm,98.00,Rock,7,8,Dm - 98.00 - CORERADIO.RU,-9.1 dB
Aim High,Penny Lane (feat. Wilmette),Local Band Forever,Cm,124.82,Rock,7,3,Cm - 124.82 - CORERADIO.RU,-8.4 dB
Aim High,Here Lies Kakarot's Hopes & Dreams (feat. The Home Team),Local Band Forever,Fm,87.50,Rock,7,8,Fm - 87.50 - CORERADIO.RU,-8.0 dB
Aim High,Drag This Out (feat. In Her Own Words),Local Band Forever,F,80.00,Rock,6,8,F - 80.00 - CORERADIO.RU,-10.3 dB
Air Dubai,Toxic (Britney Spears cover),Love Is Hopeless 2013,Gm,102.00,Alternative,4,8,Gm - 102.00,-10.1 dB
Ak-47 & Tutter Butter,Aint no turning back,,Gm,134.00,,7,8,Gm - 134.00,-13.9 dB
All Heavy Everything,That's Tha Homie (Snoop Dogg),Djent Rolls Deep,F#m,145.00,Djent,7,5,F#m - 145.00 - G minor (11m),-15.0 dB
All Time Low,Time to Break Up,Pacific Ridge Record's Heroes of Pop-punk (Limited Edition),C#,100.00,Pop,6,6,C# - 100.00,-8.5 dB
All Time Low,True Colors (Cyndi Lauper Cover),Love Is Hopeless 2013,A,95.00,Alternative,7,8,A - 95.00,-7.8 dB
Allister,Somewhere Down In Fullterton,Welcome To The Family,D#,95.02,Alternative,7,8,D# - 95.02,-8.6 dB
Allister,Stuck,Welcome To The Family,G#,96.23,Alternative,7,3,G# - 96.23,-9.8 dB
Allister,Somewhere On Fullerton,Last Stop Suburbia,D#,97.00,Rock,7,8,D# - 97.00,-9.8 dB
Aloha,Body Buzz (Cd),Light Works,G,124.99,Alternative,5,3,G - 124.99,-11.5 dB
Alpine Loop,Red,Country Goes Hardcore,E,142.00,Rock,7,8,E - 142.00,-7.5 dB
Alteras,Timber (Pitbull Cover),Kingdom Leaks: Covers Compilation Vol. III,B,130.01,Post Hardcore,6,8,B - 130.01 - B major (6d),-8.0 dB
alterEgo,Carousel,Pacific Ridge Records Heroes of Pop Punk,B,80.46,Alternative,7,8,B - 80.46,-9.5 dB
Amber Pacific,Video Killed the Radio Star,Punk Goes 80's,C#,150.01,,6,8,C# - 150.01,-9.8 dB
American Football,Never Meant,American Football,C,144.16,Alternative,5,3,C - 144.16,-9.9 dB
Anarbor,Useless,The Words You Don't Swallow,C#,95.01,Alternative,6,8,C# - 95.01,-11.3 dB
Anberlin,Enjoy the Silence,Punk Goes 90's,Cm,120.00,,7,8,Cm - 120.00,-9.2 dB
Andrew Mayberry,The Ocean,,A,116.67,,3,8,A - 116.67,-10.1 dB
Andrew Tran,Typhlosion,SoundCloud 2018,C#m,143.97,Rap/Hip Hop,5,8,C#m - 143.97,-7.6 dB
Andrew Zink of Akeldama,Dangerous (Busta Rhymes),Djent Rolls Deep,Em,103.11,Djent,7,8,Em - 103.11 - E minor (2m),-9.8 dB
Anthem Lights,Emo Medley,YT Mashups,C,116.48,,4,8,C - 116.48,-9.5 dB
Antoine Dufour,En t'attendant,Reflect,E,140.15,Folk,3,5,E - 140.15,-12.9 dB
Anton Golden,Narcissistic Drama Queen,Fuck Playlist,Dm,112.00,Alternative,4,7,Dm - 112.00,-8.4 dB
Any Given Day,Diamonds (Rihanna Cover),Kingdom Leaks: Covers Compilation Vol. III,Bm,92.00,Metalcore,7,8,Bm - 92.00 - B minor (3m),-7.2 dB
Architects,Damnation,Holy Hell,G#m,87.50,Metal,6,6,G#m - 87.50 - CORERADIO.RU,-8.9 dB
Architects,Royal Beggars,Holy Hell,Bm,89.00,Metal,5,8,Bm - 89.00 - CORERADIO.RU,-9.6 dB
Architects,Modern Misery,Holy Hell,G#m,116.00,Metal,7,8,G#m - 116.00 - CORERADIO.RU,-9.2 dB
Architects,Holy Hell,Holy Hell,Bm,105.00,Metal,6,8,Bm - 105.00 - CORERADIO.RU,-9.1 dB
Architects,All Love is Lost,All Our Gods Have Abandoned Us,G#m,120.00,Progressive metalcore,5,8,G#m - 120.00 - coreradio.ru,-7.7 dB
Architects,Mortal After All,Holy Hell,F#m,154.00,Metal,7,6,F#m - 154.00 - CORERADIO.RU,-9.4 dB
Architects,Memento Mori,All Our Gods Have Abandoned Us,G#m,95.00,Progressive metalcore,6,8,G#m - 95.00 - coreradio.ru,-8.6 dB
Architects,Gravity,All Our Gods Have Abandoned Us,G#m,87.50,Progressive metalcore,6,6,G#m - 87.50 - coreradio.ru,-7.3 dB
Architects,Death is Not Defeat,Holy Hell,G#m,95.00,Metal,5,3,G#m - 95.00 - CORERADIO.RU,-9.4 dB
Architects,A Match Made In Heaven,All Our Gods Have Abandoned Us,F#m,121.50,Progressive metalcore,7,8,F#m - 121.50 - coreradio.ru,-7.6 dB
Architects,The Empty Hourglass,All Our Gods Have Abandoned Us,G#m,88.09,Progressive metalcore,5,4,G#m - 88.09 - coreradio.ru,-7.8 dB
Architects,Gone With The Wind,All Our Gods Have Abandoned Us,F#m,155.00,Progressive metalcore,7,8,F#m - 155.00 - coreradio.ru,-7.6 dB
Architects,Downfall,All Our Gods Have Abandoned Us,F#m,120.00,Progressive metalcore,6,8,F#m - 120.00 - coreradio.ru,-7.5 dB
Architects,Phantom Fear,All Our Gods Have Abandoned Us,G#m,136.66,Progressive metalcore,6,3,G#m - 136.66 - coreradio.ru,-8.0 dB
Architects,Deathwish,All Our Gods Have Abandoned Us,G#m,120.00,Progressive metalcore,7,8,G#m - 120.00 - coreradio.ru,-7.5 dB
Architects,Nihilist,All Our Gods Have Abandoned Us,G#m,120.01,Progressive metalcore,6,8,G#m - 120.01 - coreradio.ru,-7.5 dB
Architects,Hereafter,Holy Hell,F#m,121.00,Metal,7,8,F#m - 121.00 - CORERADIO.RU,-8.8 dB
Architects,Dying to Heal,Holy Hell,G#m,95.00,Metal,6,8,G#m - 95.00 - CORERADIO.RU,-9.2 dB
Architects,The Seventh Circle,Holy Hell,C#m,90.00,Metal,7,6,C#m - 90.00 - CORERADIO.RU,-10.0 dB
Architects,Doomsday,Holy Hell,F#m,125.00,Metal,6,8,F#m - 125.00 - CORERADIO.RU,-9.1 dB
Architects,Do You Dream Of Armageddon?,For Those That Wish To Exist,D#m,125.00,Alternative / Metalcore / Electronic,5,4,D#m - 125.00 - CORERADIO.RU,-9.4 dB
Architects,Royal Beggars,Holy Hell,Bm,89.00,Metal,5,8,Bm - 89.00 - CORERADIO.RU,-9.6 dB
Architects,Giving Blood,For Those That Wish To Exist,C#m,137.00,Alternative / Metalcore / Electronic,6,8,C#m - 137.00 - CORERADIO.RU,-7.7 dB
Architects,Discourse Is Dead,For Those That Wish To Exist,Cm,124.00,Alternative / Metalcore / Electronic,7,8,Cm - 124.00 - CORERADIO.RU,-7.0 dB
Architects,Dead Butterflies,For Those That Wish To Exist,D#m,125.00,Alternative / Metalcore / Electronic,5,8,D#m - 125.00 - CORERADIO.RU,-7.2 dB
Architects,An Ordinary Extinction,For Those That Wish To Exist,G#m,138.00,Alternative / Metalcore / Electronic,7,8,G#m - 138.00 - CORERADIO.RU,-7.4 dB
Architects,Impermanence (feat. Winston McCall),For Those That Wish To Exist,G#m,87.00,Alternative / Metalcore / Electronic,7,8,G#m - 87.00 - CORERADIO.RU,-7.4 dB
Architects,Flight Without Feathers,For Those That Wish To Exist,A#m,134.99,Alternative / Metalcore / Electronic,6,8,A#m - 134.99 - CORERADIO.RU,-8.7 dB
Architects,Little Wonder (feat. Mike Kerr),For Those That Wish To Exist,C#m,130.00,Alternative / Metalcore / Electronic,7,8,C#m - 130.00 - CORERADIO.RU,-7.4 dB
Architects,Animals,For Those That Wish To Exist,C#m,95.00,Alternative / Metalcore / Electronic,7,8,C#m - 95.00 - CORERADIO.RU,-7.0 dB
Architects,Libertine,For Those That Wish To Exist,C#m,145.00,Alternative / Metalcore / Electronic,6,7,C#m - 145.00 - CORERADIO.RU,-7.1 dB
Architects,Goliath (feat. Simon Neil),For Those That Wish To Exist,C#m,148.00,Alternative / Metalcore / Electronic,7,8,C#m - 148.00 - CORERADIO.RU,-6.8 dB
Architects,Demi God,For Those That Wish To Exist,Bm,122.00,Alternative / Metalcore / Electronic,7,8,Bm - 122.00 - CORERADIO.RU,-7.5 dB
