Artist,Album,Title,Key,BPM,Energy
Adventure Club Feat. Yuna,Calling All Heroes,Gold,Am,145.00,7
Adventure Club Feat. Zak Waters,Red // Blue,Fade,Bm,134.00,8
Adventure Club Vs Dallask,Crash 2.0,Crash 2.0,D#,128.00,8
Adventure Club X Crankdat Feat. Krewella,Next Life,Next Life,Em,142.00,7
Adventure Club X Modern Machines Feat. Saint Slumber,Makedamnsure,Makedamnsure,Bm,155.00,6
Adventure Club X Modern Machines Feat. Saint Slumber,Makedamnsure,Makedamnsure,Bm,155.00,6
Adventure Club X Said the Sky Feat. Caly Bevier,Already Know (Cinematic Remix),Already Know (Cinematic Remix),Am,150.00,7
"Adventure Club, Armnhmr & Haliene",Love // Chaos,Anywhere,D,130.00,6
"Adventure Club, Fancy Monster & Soundr",Love // Chaos,King of Nothing,D#,150.00,6
After Hour Animals,All It Takes,All It Takes,Fm,103.28,7
Ag128et,Yt Mashups,One More Heart Attack (Mashup),Fm,86.99,7
Ahnboi,Ahnboi,Sad Nothing [Piano Instrumental ],B,145.00,6
Ahnboi,Ahnboi,Sad Juice WRLD Pain,A#m,82.50,5
Ahnboi,Ahnboi,Sad Piano Mistakes,F#m,130.00,3
Ahnboi,Ahnboi,I Was Good to You,F#m,155.00,4
Ahnboi,Ahnboi,Roddy Ricch x Gunna Bleak [Prod hnboi x Sandrey],Dm,120.00,5
Ahnboi,Ahnboi,Sad Juice WRLDreamz,Dm,155.00,5
Ahnboi,Ahnboi,Juice WRLD x Lil Skiesgony,A#m,81.00,5
Ahnboi,Ahnboi,Polox Lil Tjay My Time,Gm,95.00,4
Ahnboi,Ahnboi,Lil Peep Rich & Sad,G#m,110.00,5
Ahnboi,Ahnboi,Sad Oneay,D#,125.00,3
Ahnboi,Ahnboi,Sad Chill Lose Myself,F,128.74,3
Ahnboi,Ahnboi,Sad Trap Strangers,F#,148.03,3
Ahnboi,Ahnboi,XXXTENTACION x Lil Peep Hurt,Am,148.03,5
Ahnboi,Ahnboi,Sad Ieel Empty,A,134.01,5
Aiden,Some Kind of Hate,In the End,A#m,107.00,6
Aim High,Local Band Forever,Gender Neutral Happy Meal (Feat. Belmont & Safehold),D,124.00,8
Aim High,Local Band Forever,Drag This Out (Feat. In Her Own Words),F,80.00,6
Aim High,Local Band Forever,Home Is Where the Hea(R)T Is[Feat. Sleeping With Sirens & Like Pacific],Fm,140.00,7
Aim High,Local Band Forever,Pajamas in Public (Feat. Reliance),Fm,115.63,7
Aim High,Local Band Forever,Eton Edicius (Feat. Safehold),G#,95.00,7
Aim High,Local Band Forever,Clear & Concise (Feat. Glimmers),G,145.01,6
Aim High,Local Band Forever,Penny Lane (Feat. Wilmette),Cm,124.82,7
Aim High,Local Band Forever,$Ezcore$ (Feat. Charlie Sheen & Dan O'connor),D#,126.38,7
Aim High,Local Band Forever,Counterparts (Feat. Brendan Murphy & Lindsay Lohan),Fm,124.68,7
